External ID,Province,Country/External ID,State Code
base.state_id_ac,NANGGROE ACEH DARUSSALAM (NAD),base.id,AC
base.state_id_ba,BALI,base.id,BA
base.state_id_bb,BANGKA BELITUNG,base.id,BB
base.state_id_be,BENGKULU,base.id,BE
base.state_id_bt,BANTEN,base.id,BT
base.state_id_go,GORONTALO,base.id,GO
base.state_id_ja,JAMBI,base.id,JA
base.state_id_jb,JAWA BARAT,base.id,JB
base.state_id_ji,JAWA TIMUR,base.id,JI
base.state_id_jk,DKI JAKARTA,base.id,JK
base.state_id_jt,JAWA TENGAH,base.id,JT
base.state_id_kb,KALIMANTAN BARAT,base.id,KB
base.state_id_ki,KALIMANTAN TIMUR,base.id,KI
base.state_id_kr,KEPULAUAN RIAU,base.id,KR
base.state_id_ks,KALIMANTAN SELATAN,base.id,KS
base.state_id_kt,KALIMANTAN TENGAH,base.id,KT
base.state_id_ku,KALIMANTAN UTARA,base.id,KU
base.state_id_la,LAMPUNG,base.id,LA
base.state_id_ma,MALUKU,base.id,MA
base.state_id_mu,MALUKU UTARA,base.id,MU
base.state_id_nb,NUSA TENGGARA BARAT (NTB),base.id,NB
base.state_id_nt,NUSA TENGGARA TIMUR (NTT),base.id,NT
base.state_id_pa,PAPUA,base.id,PA
base.state_id_pb,PAPUA BARAT,base.id,PB
base.state_id_ri,RIAU,base.id,RI
base.state_id_sa,SULAWESI UTARA,base.id,SA
base.state_id_sb,SUMATERA BARAT,base.id,SB
base.state_id_sg,SULAWESI TENGGARA,base.id,SG
base.state_id_sn,SULAWESI SELATAN,base.id,SN
base.state_id_sr,SULAWESI BARAT,base.id,SR
base.state_id_ss,SUMATERA SELATAN,base.id,SS
base.state_id_st,SULAWESI TENGAH,base.id,ST
base.state_id_su,SUMATERA UTARA,base.id,SU
base.state_id_yo,DI YOGYAKARTA,base.id,YO
